 No.,ID,Pos.(X),Pos.(Y),Pos.(Z),Data(X),Data(Y),Data(Z),Main Data,Displacement,Prn Cos(X),Prn Cos(Y),Prn Cos(Z),
2810,15578,3.58738e+01,-4.88931e+00,1.00000e+00,-,-,-,9.13329e+00,2.75928e-02,-,-,-,
2809,15528,1.97255e+01,-2.41997e+00,1.00000e+00,-,-,-,7.39351e+00,5.19846e-02,-,-,-,
2808,15399,1.91394e+01,-3.07847e+00,1.00000e+00,-,-,-,5.63542e+00,5.25666e-02,-,-,-,
2807,15751,1.52421e+01,2.61686e+00,1.00000e+00,-,-,-,8.73056e+00,5.71233e-02,-,-,-,
2806,15485,3.58272e+01,-4.37568e+00,1.00000e+00,-,-,-,7.38626e+00,2.63935e-02,-,-,-,
2805,15409,2.24491e+01,-2.34642e+00,1.00000e+00,-,-,-,9.27013e+00,4.57622e-02,-,-,-,
2804,15718,2.86089e+01,4.02173e+00,1.00000e+00,-,-,-,5.32948e+00,3.00111e-02,-,-,-,
2803,15464,2.04339e+01,-2.24257e+00,1.00000e+00,-,-,-,8.94024e+00,5.11040e-02,-,-,-,
2802,15522,1.65057e+01,7.19212e-01,1.00000e+00,-,-,-,9.66189e+00,5.56494e-02,-,-,-,
2801,15667,2.65843e+01,4.21824e+00,1.00000e+00,-,-,-,7.99633e+00,3.39906e-02,-,-,-,
2800,15395,1.58096e+01,1.05234e+00,1.00000e+00,-,-,-,9.53319e+00,5.64927e-02,-,-,-,
2799,15317,2.34346e+01,-5.00000e+00,1.00000e+00,-,-,-,9.58578e+00,4.62241e-02,-,-,-,
2798,15672,2.01457e+01,-3.80544e+00,1.00000e+00,-,-,-,6.45796e+00,5.17836e-02,-,-,-,
2797,15393,1.40262e+01,2.69477e+00,1.00000e+00,-,-,-,9.30987e+00,5.86074e-02,-,-,-,
2796,15656,3.09493e+01,2.74717e+00,1.00000e+00,-,-,-,9.25857e+00,2.35128e-02,-,-,-,
2795,15467,2.77188e+01,1.58882e+00,1.00000e+00,-,-,-,8.74056e+00,3.32221e-02,-,-,-,
2794,15401,1.67380e+01,-3.22775e+00,1.00000e+00,-,-,-,9.74706e+00,5.40868e-02,-,-,-,
2793,15313,2.46568e+01,-5.00000e+00,1.00000e+00,-,-,-,1.11132e+01,4.36740e-02,-,-,-,
2792,15572,2.47773e+01,4.67326e+00,1.00000e+00,-,-,-,8.78169e+00,3.73824e-02,-,-,-,
2791,15608,1.49349e+01,4.23939e+00,1.00000e+00,-,-,-,9.34838e+00,5.72089e-02,-,-,-,
2790,15421,1.55353e+01,2.83427e+00,1.00000e+00,-,-,-,8.88421e+00,5.68109e-02,-,-,-,
2789,15420,1.64162e+01,1.94130e+00,1.00000e+00,-,-,-,9.69520e+00,5.57353e-02,-,-,-,
2788,15439,2.82602e+01,-4.27318e+00,1.00000e+00,-,-,-,9.68353e+00,3.45865e-02,-,-,-,
2787,15741,2.38135e+01,-3.69314e+00,1.00000e+00,-,-,-,1.99437e+00,4.40656e-02,-,-,-,
2786,15573,2.98835e+01,4.50491e+00,1.00000e+00,-,-,-,5.14932e+00,2.53706e-02,-,-,-,
2785,15677,3.03368e+01,3.85696e+00,1.00000e+00,-,-,-,6.33695e+00,2.44001e-02,-,-,-,
2784,15668,3.01760e+01,3.82838e+00,1.00000e+00,-,-,-,7.46187e+00,2.48992e-02,-,-,-,
2783,15383,3.02385e+01,5.00000e+00,1.00000e+00,-,-,-,3.84341e-01,2.39627e-02,-,-,-,
2782,15382,3.01299e+01,5.00000e+00,1.00000e+00,-,-,-,4.34224e-01,2.42962e-02,-,-,-,
2781,15560,3.02158e+01,4.48397e+00,1.00000e+00,-,-,-,2.24780e+00,2.43409e-02,-,-,-,
2780,15551,1.49332e+01,4.62940e+00,1.00000e+00,-,-,-,1.25605e+01,5.70321e-02,-,-,-,
2779,15588,1.90355e+01,-4.58021e+00,1.00000e+00,-,-,-,1.41519e+01,5.29671e-02,-,-,-,
2778,15618,1.51355e+01,4.43477e+00,1.00000e+00,-,-,-,1.17496e+01,5.68193e-02,-,-,-,
2777,15740,1.51276e+01,4.03526e+00,1.00000e+00,-,-,-,7.69912e+00,5.70233e-02,-,-,-,
2776,15628,1.98999e+01,-3.11066e+00,1.00000e+00,-,-,-,5.83495e+00,5.18909e-02,-,-,-,
2775,15670,2.74826e+01,1.93831e+00,1.00000e+00,-,-,-,8.71469e+00,3.34359e-02,-,-,-,
2774,15470,1.93140e+01,-4.46559e+00,1.00000e+00,-,-,-,1.35859e+01,5.27556e-02,-,-,-,
2773,15612,1.32268e+01,3.91627e+00,1.00000e+00,-,-,-,1.34372e+01,5.96121e-02,-,-,-,
2772,15443,2.40990e+01,-2.54199e+00,1.00000e+00,-,-,-,4.06794e+00,4.26748e-02,-,-,-,
2771,15466,2.40540e+01,-2.07753e+00,1.00000e+00,-,-,-,7.09636e+00,4.24230e-02,-,-,-,
2770,15476,2.39171e+01,-3.22610e+00,1.00000e+00,-,-,-,2.74611e+00,4.34708e-02,-,-,-,
2769,15513,2.48224e+01,3.87970e+00,1.00000e+00,-,-,-,9.51323e+00,3.77225e-02,-,-,-,
2768,15509,2.61199e+01,1.02468e+00,1.00000e+00,-,-,-,1.02401e+01,3.64413e-02,-,-,-,
2767,15760,1.58383e+01,1.93703e+00,1.00000e+00,-,-,-,9.35541e+00,5.64349e-02,-,-,-,
2766,15483,3.18446e+01,-4.52435e+00,1.00000e+00,-,-,-,9.53644e+00,2.92371e-02,-,-,-,
2765,15544,2.70570e+01,1.33915e+00,1.00000e+00,-,-,-,9.18227e+00,3.45248e-02,-,-,-,
2764,15702,2.64874e+01,9.21619e-01,1.00000e+00,-,-,-,9.72581e+00,3.58158e-02,-,-,-,
2763,15699,2.61886e+01,3.70982e-01,1.00000e+00,-,-,-,9.51062e+00,3.67262e-02,-,-,-,
2762,15554,3.67822e+01,-3.47825e+00,1.00000e+00,-,-,-,8.94780e+00,2.40265e-02,-,-,-,
2761,15348,3.70564e+01,-3.10994e+00,1.00000e+00,-,-,-,9.26575e+00,2.30422e-02,-,-,-,
2760,15460,2.34832e+01,-4.56933e+00,1.00000e+00,-,-,-,7.19537e+00,4.56760e-02,-,-,-,
2759,15744,1.40727e+01,-3.62913e+00,1.00000e+00,-,-,-,1.07531e+01,5.47713e-02,-,-,-,
2758,15613,1.59300e+01,-3.73249e+00,1.00000e+00,-,-,-,1.08412e+01,5.44039e-02,-,-,-,
2757,15440,2.60415e+01,-4.31123e+00,1.00000e+00,-,-,-,9.84524e+00,3.95051e-02,-,-,-,
